acl_id,survey_section,paradigm,year,transp_compensation,transp_selection_criteria,transp_expertise,transp_language_background,transp_adjudication
2005.mtsummit-papers.17,§4.7,classical,2005,False,False,True,False,False
2010.jeptalnrecital-long.35,§3,classical,2010,False,False,False,False,False
2011.jeptalnrecital-long.16,§3,classical,2011,False,False,False,False,False
2011.jeptalnrecital-demonstration.15,§3,classical,2011,False,False,False,False,False
2013.iwslt-evaluation.2,§4.7,classical,2013,False,False,True,True,False
2014.lilt-9.10,§4.3,classical,2014,False,False,True,False,False
2016.lilt-13.2,§4.3,classical,2016,False,True,False,True,False
2016.lilt-14.6,§4.4,classical,2016,False,False,True,False,True
2018.clib-1.9,§4.6,classical,2018,False,False,False,False,False
2018.clicit-1.37,§3,crowdsourced,2018,False,False,True,False,False
2018.gwc-1.18,§4.3,crowdsourced,2018,True,False,True,False,False
2018.gwc-1.21,§4.3,classical,2018,False,False,True,False,True
2019.tal-2.3,§3,classical,2019,False,False,True,False,False
2020.acl-main.116,§4.2,classical,2020,False,False,True,False,False
2020.acl-srw.24,§4.6,crowdsourced,2020,True,False,True,False,False
2020.alw-1.21,§4.5,crowdsourced,2020,True,False,True,True,False
2020.alw-1.22,§4.5,crowdsourced,2020,False,False,True,True,True
2020.argmining-1.2,§4.5,classical,2020,True,False,False,True,False
2020.argmining-1.11,§4.5,classical,2020,False,False,True,False,False
2020.clinicalnlp-1.21,§4.4,classical,2020,False,False,False,False,False
2020.coling-main.32,§4.7,crowdsourced,2020,True,False,True,True,False
2020.coling-main.74,§4.3,classical,2020,False,False,True,True,False
2020.coling-main.421,§3,classical,2020,False,False,False,False,False
2020.coling-main.422,§4.6,crowdsourced,2020,True,True,True,False,True
2020.coling-demos.14,§4.1,crowdsourced,2020,True,False,False,False,False
2020.eamt-1.49,§4.7,classical,2020,True,False,True,True,False
2020.emnlp-main.11,§4.6,crowdsourced,2020,False,False,False,True,False
2020.emnlp-main.679,§4.5,classical,2020,True,True,True,False,True
2020.isa-1.2,§4.4,classical,2020,False,False,True,False,False
2020.law-1.4,§4.3,classical,2020,False,False,False,False,False
2020.law-1.7,§4.6,crowdsourced,2020,False,True,True,False,True
2020.lrec-1.9,§4.4,crowdsourced,2020,True,False,False,True,False
2020.lrec-1.103,§4.1,classical,2020,False,False,False,False,False
2020.lrec-1.104,§4.1,llm_annotator,2020,False,False,False,True,False
2020.lrec-1.112,§4.1,classical,2020,False,False,True,False,False
2020.lrec-1.129,§4.3,classical,2020,True,False,True,False,False
2020.lrec-1.133,§4.3,classical,2020,False,False,False,False,False
2020.lrec-1.147,§4.3,classical,2020,False,False,True,True,True
2020.lrec-1.149,§4.3,classical,2020,False,False,False,False,False
2020.lrec-1.227,§4.3,classical,2020,False,False,False,False,False
2020.lrec-1.245,§4.2,classical,2020,True,False,True,False,False
2020.lrec-1.265,§4.1,classical,2020,False,False,False,False,False
2020.lrec-1.339,§4.5,classical,2020,False,False,False,False,True
2020.lrec-1.468,§4.7,classical,2020,False,False,True,True,False
2020.lrec-1.559,§4.2,classical,2020,False,False,True,True,False
2020.lrec-1.562,§4.2,classical,2020,False,True,False,False,False
2020.lrec-1.566,§4.2,classical,2020,False,False,False,False,True
2020.lrec-1.567,§4.2,classical,2020,False,False,True,True,False
2020.lrec-1.618,§4.5,classical,2020,False,False,True,False,True
2020.lrec-1.621,§4.5,crowdsourced,2020,False,False,True,False,False
2020.lrec-1.626,§4.5,crowdsourced,2020,False,False,False,True,False
2020.lrec-1.638,§4.2,classical,2020,False,False,True,True,False
2020.lrec-1.709,§4.3,crowdsourced,2020,False,False,True,False,False
2020.lrec-1.731,§4.3,classical,2020,False,False,True,False,True
2020.lrec-1.733,§4.3,classical,2020,True,False,True,True,True
2020.lrec-1.769,§4.5,classical,2020,False,False,False,True,False
2020.lrec-1.775,§4.1,classical,2020,False,False,False,False,True
2020.lrec-1.815,§4.1,classical,2020,False,False,False,True,False
2020.lrec-1.834,§4.2,classical,2020,False,False,False,False,False
2020.lrec-1.861,§3,classical,2020,False,False,True,False,False
2020.nlpcovid19-acl.6,§4.6,crowdsourced,2020,True,True,True,True,True
2020.nlpcss-1.15,§4.4,classical,2020,True,False,True,False,True
2020.peoples-1.5,§4.5,classical,2020,False,False,True,True,False
2020.sdp-1.16,§4.1,classical,2020,False,False,False,False,False
2020.semeval-1.222,§4.6,crowdsourced,2020,False,False,True,False,False
2020.sltu-1.25,§4.5,classical,2020,False,False,True,True,False
2020.sltu-1.28,§4.5,classical,2020,False,False,True,True,False
2020.smm4h-1.3,§4.4,classical,2020,False,False,True,False,True
2020.socialnlp-1.4,§4.5,crowdsourced,2020,True,False,True,False,False
2020.starsem-1.9,§4.1,crowdsourced,2020,False,False,False,False,False
2020.winlp-1.28,§4.5,classical,2020,False,False,False,False,False
2020.wmt-1.137,§4.7,classical,2020,True,False,True,True,False
2021.acl-long.1,§4.5,crowdsourced,2021,False,True,True,False,False
2021.acl-long.314,§4.3,classical,2021,True,False,True,True,False
2021.acl-long.548,§4.1,crowdsourced,2021,True,True,True,False,False
2021.acl-long.550,§4.3,crowdsourced,2021,True,True,True,True,False
2021.alta-1.2,§4.1,crowdsourced,2021,True,True,True,False,False
2021.bppf-1.2,§3,crowdsourced,2021,False,False,True,False,True
2021.bppf-1.3,§4.1,crowdsourced,2021,False,False,False,False,True
2021.conll-1.18,§4.7,classical,2021,False,False,False,True,False
2021.crac-1.3,§4.4,classical,2021,True,False,False,False,False
2021.discann-1.1,§4.3,classical,2021,False,False,False,False,True
2021.eacl-main.67,§4.2,classical,2021,True,False,True,True,False
2021.eacl-main.276,§4.1,classical,2021,False,False,False,False,False
2021.eacl-demos.5,§4.1,classical,2021,True,False,True,False,False
2021.ecnlp-1.17,§4.5,classical,2021,False,False,True,True,False
2021.emnlp-main.101,§4.2,crowdsourced,2021,True,False,True,False,False
